NAME,A (au),PER (days),ECC,STAR,RSTAR (Rsun),MSTAR (Msun),MASS (Mjup)
KOI 1563.03,0.0399,3.20539622,0,KOI 1563,0.787,0.823,0.012820258
KOI 1619.01,0.1291,20.6654374,0,KOI 1619,0.676,0.671,0.000725488
KOI 1731.01,0.034,2.59488443,0,KOI 1731,0.797,0.776,0.018648154
KOI 1733.01,0.1178,19.18109525,0,KOI 1733,0.587,0.591,0.0129606
KOI 1627.02,0.0699,5.93919041,0,KOI 1627,1.797,1.294,0.044793488
KOI 1738.01,0.0491,4.16787814,0,KOI 1738,0.847,0.91,0.004002722
KOI 1630.01,0.0964,11.30507984,0,KOI 1630,0.844,0.936,0.010065691
KOI 1639.02,0.0935,9.9824036,0,KOI 1639,1.139,1.092,0.005471258
KOI 1764.01,0.0935,12.68173393,0,KOI 1764,0.701,0.677,0.246380163
KOI 22.01,0.0813,7.891448838,0,KOI 22,1.237,1.148,1
KOI 1510.01,0.016,0.839961456,0,KOI 1510,0.718,0.808,0.01234108
KOI 1573.01,0.1668,24.81097206,0,KOI 1573,0.921,1.003,0.061092761
KOI 1573.02,0.0727,7.136922,0,KOI 1573,0.921,1.003,0.009594494
KOI 1646.01,0.0429,3.72020708,0,KOI 1646,0.797,0.76,0.003035391
KOI 1751.02,0.1394,20.99757968,0,KOI 1751,0.895,0.817,0.027454643
KOI 1754.01,0.1286,15.13590453,0,KOI 1754,1.572,1.24,0.021216541
KOI 1574.03,0.0628,5.83393857,0,KOI 1574,1.699,0.969,0.014956266
KOI 1647.03,0.0662,6.33027476,0,KOI 1647,1.07,0.964,0.003377463
KOI 1648.01,0.2084,38.3262237,0,KOI 1648,0.903,0.821,0.01945693
KOI 1649.01,0.0413,4.04355245,0,KOI 1649,0.532,0.573,0.013174204
KOI 1758.01,0.0608,5.59728249,0,KOI 1758,0.858,0.953,0.033760238
KOI 177.01,0.1463,21.06075303,0,KOI 177,1.034,0.94,0.0133917
KOI 183.01,0.036,2.684328541,0,KOI 183,0.956,0.859,1
KOI 1576.03,0.159,23.3397956,0,KOI 1576,1.084,0.983,0.006500393
KOI 195.01,0.041,3.217518511,0,KOI 195,0.903,0.882,1
KOI 1781.02,0.0377,3.005156911,0,KOI 1781,0.72,0.822,0.016960108
KOI 1581.01,0.1792,29.5422566,0,KOI 1581,0.803,0.877,0.030942307
KOI 1659.01,0.204,29.5390897,0,KOI 1659,1.238,1.298,0.020438317
KOI 1660.01,0.2104,35.6364022,0,KOI 1660,0.887,0.978,0.015040364
KOI 1458.01,0.0882,8.98128472,0,KOI 1458,1.022,1.133,0.239744229
KOI 1665.02,0.0682,5.91393977,0,KOI 1665,1.129,1.208,0.004002722
KOI 1675.01,0.1131,14.62399621,0,KOI 1675,0.815,0.907,1
KOI 1465.01,0.0878,9.771462706,0,KOI 1465,0.853,0.947,0.937847119
KOI 191.02,0.0337,2.418406841,0,KOI 191,0.887,0.874,0.017464874
KOI 1681.01,0.0546,6.93910337,0,KOI 1681,0.42,0.45,0.010306604
KOI 1470.01,0.124,15.43400996,0,KOI 1470,0.951,1.065,0.063502544
KOI 1537.01,0.0967,10.19154678,0,KOI 1537,1.684,1.156,0.009828326
KOI 1590.01,0.0992,12.89006728,0,KOI 1590,0.812,0.781,0.01454473
KOI 185.01,0.1533,23.21050996,0,KOI 185,0.809,0.895,1
KOI 1590.02,0.0319,2.35574505,0,KOI 1590,0.812,0.781,0.008694217
KOI 1590.03,0.051,4.74666128,0,KOI 1590,0.812,0.781,0.007849274
KOI 1591.01,0.1335,19.65639342,0,KOI 1591,0.74,0.828,0.02504883
KOI 1473.01,0.1608,23.02028478,0,KOI 1473,0.956,1.046,0.189281282
KOI 1475.01,0.0228,1.609321941,0,KOI 1475,0.603,0.609,0.011943753
KOI 1475.02,0.0745,9.51220046,0,KOI 1475,0.603,0.609,0.015040364
KOI 1475.03,0.0468,4.72941177,0,KOI 1475,0.603,0.609,0.006320868
KOI 191.03,0.0149,0.708621057,0,KOI 191,0.887,0.874,0.005971488
KOI 1546.01,0.0186,0.917568975,0,KOI 1546,0.893,1.01,1
KOI 1597.01,0.0848,7.79668781,0,KOI 1597,1.276,1.334,0.019576203
KOI 1704.01,0.0917,10.4188915,0,KOI 1704,1.064,0.946,0.031358949
KOI 1705.01,0.1528,20.4998763,0,KOI 1705,1.076,1.13,0.024565958
KOI 1480.02,0.066,7.00447892,0,KOI 1480,0.808,0.779,0.005801589
KOI 1547.01,0.1976,30.69395532,0,KOI 1547,1.018,1.086,1
KOI 1549.01,0.1706,29.48106127,0,KOI 1549,0.901,0.762,1
KOI 1599.01,0.1473,20.4074846,0,KOI 1599,0.972,1.02,0.026219735
KOI 1708.01,0.202,32.7737631,0,KOI 1708,1.534,1.023,0.086641172
KOI 1962.01,0.2006,32.85862571,0,KOI 1962,1.414,0.995,0.018097474
KOI 1964.01,0.0324,2.229326354,0,KOI 1964,0.865,0.914,0.000521316
KOI 2037.03,0.0776,8.56267266,0,KOI 2037,0.93,0.847,0.017568233
KOI 1831.03,0.1949,34.20578508,0,KOI 1831,0.826,0.844,0.004412023
KOI 1831.04,0.1074,13.97945055,0,KOI 1831,0.826,0.844,0.014872775
KOI 1968.01,0.0956,10.08744556,0,KOI 1968,1.095,1.143,0.030942307
KOI 1969.01,0.1264,16.34355902,0,KOI 1969,1.056,1.008,0.033309572
KOI 2039.01,0.0601,5.42586901,0,KOI 2039,0.934,0.981,0.012093321
KOI 2040.01,0.1379,19.58561177,0,KOI 2040,0.996,0.911,0.029728063
KOI 1972.01,0.1298,17.79108667,0,KOI 1972,1.34,0.92,0.025878774
KOI 214.01,0.0437,3.311864148,0,KOI 214,0.937,1.012,0.552145786
KOI 1906.01,0.08,8.710442022,0,KOI 1906,0.809,0.9,0.042163743
KOI 1842.01,0.1261,16.84183355,0,KOI 1842,1.009,0.941,0.029530812
KOI 1982.01,0.0574,4.88753111,0,KOI 1982,0.957,1.053,0.019696433
KOI 2060.01,0.0343,2.800111267,0,KOI 2060,0.704,0.686,0.016285734
KOI 1843.02,0.0552,6.35585682,0,KOI 1843,0.522,0.555,0.001838225
KOI 1845.02,0.0567,5.05821338,0,KOI 1845,1.667,0.951,1
KOI 1984.01,0.1624,22.06402,0,KOI 1984,1.09,1.174,0.022598795
KOI 1985.01,0.0582,5.756245244,0,KOI 1985,0.734,0.794,0.017362327
KOI 2052.01,0.0546,4.22464216,0,KOI 2052,1.14,1.213,0.063807141
KOI 2056.01,0.227,39.3135699,0,KOI 2056,0.925,1.008,0.015735915
KOI 1856.01,0.2436,46.2991052,0,KOI 1856,1.507,0.898,0.064418584
KOI 1917.01,0.2124,35.01190875,0,KOI 1917,1.153,1.041,0.027454643
KOI 2001.01,0.077,8.27745764,0,KOI 2001,1.781,0.887,0.019817626
KOI 2064.01,0.0695,6.31219171,0,KOI 2064,1.075,1.124,0.016666598
KOI 1860.01,0.0658,6.31943553,0,KOI 1860,1.022,0.949,0.023182941
KOI 1860.02,0.1021,12.20951755,0,KOI 1860,1.022,0.949,0.021756357
KOI 1860.03,0.0407,3.07644709,0,KOI 1860,1.022,0.949,0.012207355
KOI 1784.01,0.058,5.007414194,0,KOI 1784,1.042,1.034,0.491041806
KOI 1861.01,0.1289,17.50441726,0,KOI 1861,1.329,0.933,0.040767849
